Symbol	RAPdb	MSU
ABC1|OsFd-GOGAT|SPL32|ES7	Os07g0658400	LOC_Os07g46460
AChE	Os07g0586200	LOC_Os07g39750
ACL1	Os04g0415000	LOC_Os04g33860
ACL2	Os02g0536500	LOC_Os02g33330
ACR7	Os03g0413100	LOC_Os03g29980
ADCa|OsAdc2	Os04g0107600	LOC_Os04g01690
Adh1	Os11g0210300	LOC_Os11g10480
Adk-a	Os12g0236400	LOC_Os12g13380
Adk-b	Os11g0312220	LOC_Os11g20790
ADL1|OsDEK1	Os02g0709400	LOC_Os02g47970
AGO18|OsAGO18	Os07g0471300	LOC_Os07g28850
AID1	Os06g0181300	LOC_Os06g08290
akin-b|akin-beta	Os05g0491200	LOC_Os05g41220
AKR4C14|OsI_04428|OsAKR2	Os01g0847700	LOC_Os01g62870
AL1	Os01g0382200	LOC_Os01g28474
AL2	Os09g0363100	LOC_Os09g19850
AL8|RAE2|GAD1	Os08g0485500	LOC_Os08g37890
AlaAT|OsAlaAT1	Os10g0390500	LOC_Os10g25130
ALDH2a|OsALDH2B5	Os02g0730000	LOC_Os02g49720
ALK|SSIIa	Os06g0229800	LOC_Os06g12450
alpha1a	Os01g0253300	LOC_Os01g14950
alpha1b	Os05g0155500	LOC_Os05g06350
alpha2	Os01g0158000	LOC_Os01g06470
alphaAmy3|OsAmy3D|RAmy3D	Os08g0473900	LOC_Os08g36910
ALS3	Os01g0674700	LOC_Os01g48380
ALT-2	Os07g0108300	LOC_Os07g01760
ALT1	Os01g0779400	LOC_Os01g57110
AM1	Os04g0682800	LOC_Os04g58620
AmyI-1|RAmy1A	Os02g0765600	LOC_Os02g52710
An-1	Os04g0350700	LOC_Os04g28280
AOX1a|OsAOX1a	Os04g0600200	LOC_Os04g51150
AP37|OsERF3	Os01g0797600	LOC_Os01g58420
AP59|OsBIERF3|OsAP59	Os02g0654700	LOC_Os02g43790
APG|OsPIL16	Os05g0139100	LOC_Os05g04740
APIP10	Os02g0182900	LOC_Os02g09060
APIP12	Os01g0383900	LOC_Os01g28690
APIP5|OsbZIP53	Os06g0716800	LOC_Os06g50310
APIP6	Os05g0154600	LOC_Os05g06270
APO1|OsAPO1|SCM2	Os06g0665400	LOC_Os06g45460
ARAG1	Os02g0657000	LOC_Os02g43970
ARF8	Os02g0628600	LOC_Os02g41800
ART1	Os12g0170400	LOC_Os12g07280
ASCAB9-A|CP26|Lhcb5	Os11g0242800	LOC_Os11g13890
ASL1	Os01g0678600	LOC_Os01g48690
ASL2	Os02g0259600	LOC_Os02g15900
ASPR1|OsTPR1	Os01g0254100	LOC_Os01g15020
ASPR2|OsTPR2	Os03g0254700	LOC_Os03g14980
Asr1	Os01g0959100	LOC_Os01g72900
Asr2	Os01g0959200	LOC_Os01g72910
Asr3|OsASR3	Os02g0543000	LOC_Os02g33820
Asr4	Os04g0423400	LOC_Os04g34600
ASR5|OsAsr1|OsASR2	Os11g0167800	LOC_Os11g06720
Asr6	Os01g0963600	LOC_Os01g73250
ATG6B	Os03g0644000	LOC_Os03g44200
ATG6C	Os03g0258500	LOC_Os03g15290
AUMO1	Os03g0153500	LOC_Os03g05880
BAD1|OsBADH1	Os04g0464200	LOC_Os04g39020
BAS1|OsTPX|OsPRX2	Os02g0537700	LOC_Os02g33450
BBR	Os10g0115500	LOC_Os10g02620
BC1	Os03g0416200	LOC_Os03g30250
BC10|FC116	Os05g0170000	LOC_Os05g07790
BC12	Os09g0114500	LOC_Os09g02650
bc15|OsCTL1	Os09g0494200	LOC_Os09g32080
BC3|OsDRP2B	Os02g0738900	LOC_Os02g50550
Bc6|OsCesA9	Os09g0422500	LOC_Os09g25490
BEI|SBE1	Os06g0726400	LOC_Os06g51084
bel|CYP81A6|bsl	Os03g0760200|Os03g0760100	LOC_Os03g55240
BET1	Os04g0477300	LOC_Os04g40140
beta-OsLCY	Os02g0190600	LOC_Os02g09750
BG1	Os03g0175800	LOC_Os03g07920
