Symbol	RAPdb	MSU	Name
14-3-3a	Os08g0480800	LOC_Os08g37490	14-3-3_gene_family
14-3-3b	Os04g0462500	LOC_Os04g38870	14-3-3_gene_family
14-3-3c	Os08g0430500	LOC_Os08g33370	14-3-3_gene_family
14-3-3d	Os11g0546900	LOC_Os11g34450	14-3-3_gene_family
14-3-3e	Os02g0580300	LOC_Os02g36974	14-3-3_gene_family
14-3-3f	Os03g0710800	LOC_Os03g50290	14-3-3_gene_family
14-3-3g	Os01g0209200	LOC_Os01g11110	14-3-3_gene_family
14-3-3h	Os11g0609600	LOC_Os11g39540	14-3-3_gene_family
ABCA1	Os02g0211000	LOC_Os02g11960	ABCA
ABCA2	Os06g0589300	LOC_Os06g38950	ABCA
ABCA3	Os08g0398000	LOC_Os08g30740	ABCA
ABCA4	Os08g0398300	LOC_Os08g30770	ABCA
ABCA5	Os08g0398350	LOC_Os08g30780	ABCA
ABCA6	Os09g0360900	None	ABCA
ABCB10	Os02g0323000	LOC_Os02g21750	ABCB
ABCB13	Os03g0280000	LOC_Os03g17180	ABCB
ABCB18	Os05g0548300	LOC_Os05g47490	ABCB
ABCB19	Os05g0548500	LOC_Os05g47500	ABCB
ABCB23	Os06g0128300	LOC_Os06g03770	ABCB
ABCB24	Os01g0911300	LOC_Os01g68330	ABCB
ABCB26	Os07g0464600	LOC_Os07g28090	ABCB
ABCB27	Os04g0413000	LOC_Os04g33700	ABCB
ABCB9	Os02g0190300	LOC_Os02g09720	ABCB
ABCD1	Os01g0218700	LOC_Os01g11946	ABCD
ABCD2	Os01g0966100	LOC_Os01g73530	ABCD
ABCD3	Os05g0107600	LOC_Os05g01700	ABCD
ABCE1	Os02g0282900	LOC_Os02g18180	ABCE1
ABCF1	Os02g0826500	LOC_Os02g58020	ABCF
ABCF2	Os03g0441500	LOC_Os03g32630	ABCF
ABCF3	Os04g0658400	LOC_Os04g56330	ABCF
ABCF4	Os08g0564100	LOC_Os08g45010	ABCF
ABCF5	Os09g0572400	LOC_Os09g39910	ABCF
ABCF6	Os11g0603200	LOC_Os11g39020	ABCF
ABCI1	Os04g0627200	LOC_Os04g53550	ABCI
ABCI10	Os04g0553000	LOC_Os04g46700	ABCI
ABCI11	Os01g0974000	LOC_Os01g74280	ABCI
ABCI13	Os01g0614700	LOC_Os01g42830	ABCI
ABCI14	Os02g0810300	LOC_Os02g56550	ABCI
ABCI15	Os03g0316900	LOC_Os03g20170	ABCI
ABCI16	Os10g0476000	LOC_Os10g33630	ABCI
ABCI4	Os01g0127300	LOC_Os01g03650	ABCI
ABCI5	Os01g0830000	LOC_Os01g61400	ABCI
ABCI6	Os01g0770500	LOC_Os01g56400	ABCI
ABCI7	Os11g0490800	LOC_Os11g29850	ABCI
ABCI8	Os05g0400600	LOC_Os05g33230	ABCI
ABCI9	Os03g0670100	LOC_Os03g46740	ABCI
ACR5	Os03g0598100	LOC_Os03g40100	ACR
ACR6	Os04g0391500	LOC_Os04g32110	ACR
ACR8	Os08g0533600	LOC_Os08g42100	ACR
AGP1	Os08g0482300	LOC_Os08g37630	AGP
AGP10	Os08g0490400	LOC_Os08g38250	AGP
AGP12	Os01g0110200	LOC_Os01g02010	AGP
AGP14	Os01g0559900	LOC_Os01g37950	AGP
AGP15	Os01g0592500	LOC_Os01g40950	AGP
AGP16	Os01g0657000	LOC_Os01g46850	AGP
AGP17	Os01g0756900	LOC_Os01g55220	AGP
AGP19	Os01g0778400	LOC_Os01g57040	AGP
AGP2	Os01g0937900	LOC_Os01g71170	AGP
AGP20	Os02g0264800	LOC_Os02g16500	AGP
AGP21	Os02g0718600	LOC_Os02g48710	AGP
AGP22	Os02g0718100	None	AGP
AGP23	Os05g0217000	LOC_Os05g12580	AGP
AGP24	Os06g0318800	None	AGP
AGP25	Os06g0318900	None	AGP
AGP26	Os06g0505700	LOC_Os06g30920	AGP
AGP27	Os07g0573900	LOC_Os07g38630	AGP
AGP29	Os01g0607100	LOC_Os01g42210	AGP
AGP3	Os03g0188500	None	AGP
AGP30	Os02g0196100	LOC_Os02g10240	AGP
AGP31	Os03g0852400	LOC_Os03g63540	AGP
AGP4	Os04g0450701	LOC_Os04g37770	AGP
AGP5	Os04g0545250	None	AGP
AGP6	Os05g0443200	LOC_Os05g37110	AGP
AGP7	Os06g0284900	LOC_Os06g17450	AGP
AGP9	Os10g0377150	None	AGP
AM1	Os04g0134800	LOC_Os04g04750	AM
AM10	Os05g0289700	LOC_Os05g22300	AM
AM11	Os06g0305400	LOC_Os06g20110	AM
AM11	Os06g0305400	LOC_Os06g20120	AM
AM15	Os01g0782901	LOC_Os01g57390	AM
AM20	Os04g0280600	LOC_Os04g21160	AM
AM24	Os02g0124300	LOC_Os02g03190	AM
AM25	Os06g0552700	LOC_Os06g35930	AM
AM26	Os12g0487250	None	AM
AM29	Os06g0535900	LOC_Os06g34470	AM
AM3	Os01g0783000	LOC_Os01g57400	AM
AM31	Os02g0124000	LOC_Os02g03150	AM
AM39	Os04g0207600	LOC_Os04g13090	AM
AM42	Os03g0582300	LOC_Os03g38600	AM
AMT2;2	Os01g0831300	LOC_Os01g61510	AMT
AMT3;1	Os01g0870300	LOC_Os01g65000	AMT
AMT3;1	Os01g0870300	LOC_Os01g64990	AMT
AMT3;2	Os03g0838400	LOC_Os03g62200	AMT
AMT3;3	Os02g0550800	LOC_Os02g34580	AMT
AMT4;1	Os03g0749000	LOC_Os03g53780	AMT
AMT5;1	Os12g0105100	LOC_Os12g01420	AMT
AMT5;2	Os11g0105300	LOC_Os11g01410	AMT
AP2;EREBP101	Os06g0197600	LOC_Os06g09717	AP2
AP2;EREBP109	Os08g0442400	LOC_Os08g34360	AP2
AP2;EREBP127	Os01g0693400	LOC_Os01g49830	AP2
AP2;EREBP129	Os01g0141000	LOC_Os01g04800	AP2
AP2;EREBP131	Os11g0129700	LOC_Os11g03540	AP2
AP2;EREBP139	Os02g0767800	None	AP2
AP2;EREBP153	Os09g0423800	LOC_Os09g25600	AP2
AP2;EREBP155	Os12g0126300	LOC_Os12g03290	AP2
AP2;EREBP22	Os02g0747600	LOC_Os02g51300	AP2
AP2;EREBP52	Os05g0536250	LOC_Os05g45954	AP2
AP2;EREBP59	Os06g0639200	LOC_Os06g43220	AP2
AP2;EREBP68	Os08g0171100	LOC_Os08g07440	AP2
AP2;EREBP77	Os01g0140700	LOC_Os01g04750	AP2
AP2;EREBP79	Os01g0813300	LOC_Os01g59780	AP2
AP2;EREBP85	Os03g0165200	LOC_Os03g06920	AP2
AP2;EREBP86	Os03g0313100	LOC_Os03g19900	AP2
AP2;EREBP92	Os05g0356201	LOC_Os05g28800	AP2
AP2;EREBP96	Os05g0549800	LOC_Os05g47650	AP2
AP2;EREBP99	Os06g0145700	LOC_Os06g05340	AP2
APX3	Os04g0223300	LOC_Os04g14680	APX
APX4	Os08g0549100	LOC_Os08g43560	APX
APX5	Os12g0178200	LOC_Os12g07830	APX
APX6	Os12g0178100	LOC_Os12g07820	APX
APX7	Os04g0434800	LOC_Os04g35520	APX
ARF10	Os06g0685700	LOC_Os06g47150	ARF
ARF13	Os04g0690600	LOC_Os04g59430	ARF
ARF14	Os05g0515400	LOC_Os05g43920	ARF
ARF16	Os01g0236300	LOC_Os01g13520	ARF
ARF17	Os06g0677800	LOC_Os06g46410	ARF
ARF2	Os01g0927600	LOC_Os01g70270	ARF
ARF20	Os07g0183100	LOC_Os07g08520	ARF
ARF22	Os10g0479900	LOC_Os10g33940	ARF
ARF24	Os12g0479400	LOC_Os12g29520	ARF
ARF3	Os01g0753500	LOC_Os01g54990	ARF
ARF5	Os02g0141100	LOC_Os02g04810	ARF
ARF6A	Os02g0164900	LOC_Os02g06910	ARF
ARF7	Os02g0557200	LOC_Os02g35140	ARF
ARF7A	Os06g0702600	LOC_Os06g48950	ARF
ARF7B	Os08g0520500	LOC_Os08g40900	ARF
ARF9	Os04g0442000	LOC_Os04g36054	ARF
ATG10A	Os04g0497350	LOC_Os04g41990	ATG
ATG12	Os06g0205000	LOC_Os06g10340	ATG
ATG13A	Os02g0644500	LOC_Os02g43040	ATG
ATG13B	Os04g0538700	LOC_Os04g45570	ATG
ATG16	Os09g0497700	LOC_Os09g32250	ATG
ATG18A	Os02g0791800	LOC_Os02g54910	ATG
ATG18B	Os01g0168500	LOC_Os01g07400	ATG
ATG18C	Os01g0934000	LOC_Os01g70780	ATG
ATG18D	Os05g0169200	LOC_Os05g07710	ATG
ATG18E	Os01g0786900	LOC_Os01g57720	ATG
ATG18F	Os05g0405900	LOC_Os05g33610	ATG
ATG1A	Os03g0268200	LOC_Os03g16130	ATG
ATG1B	Os03g0289100	LOC_Os03g17980	ATG
ATG3A	Os01g0200000	LOC_Os01g10290	ATG
ATG3B	Os10g0560450	LOC_Os10g41110	ATG
ATG4A	Os03g0391000	LOC_Os03g27350	ATG
ATG5	Os02g0117800	LOC_Os02g02570	ATG
ATG7	Os01g0614900	LOC_Os01g42850	ATG
ATG8B	Os04g0624000	LOC_Os04g53240	ATG
ATG8C	Os08g0191600	LOC_Os08g09240	ATG
ATG8D	Os02g0529150	LOC_Os02g32700	ATG
ATG8E	Os11g0100100	LOC_Os11g01010	ATG
ATG9A	Os03g0248000	LOC_Os03g14380	ATG
ATG9B	Os10g0163100	LOC_Os10g07994	ATG
BAG1	Os09g0524800	LOC_Os09g35630	BAG
BAG2	Os08g0546100	LOC_Os08g43270	BAG
BAG3	Os06g0126500	LOC_Os06g03640	BAG
BAG4	Os01g0831200	LOC_Os01g61500	BAG
BAG5	Os11g0506800	LOC_Os11g31060	BAG
BAG6	Os02g0719700	LOC_Os02g48780	BAG
BGAL10	Os08g0549200	LOC_Os08g43570	BGAL
BGAL11	Os09g0539200	LOC_Os09g36810	BGAL
BGAL12	Os10g0330600	LOC_Os10g18400	BGAL
BGAL13	Os12g0429200	LOC_Os12g24170	BGAL
BGAL14	Os10g0340600	LOC_Os10g19960	BGAL
